Time,228Th,224Ra,220Rn,216Po,212Pb,212Bi,208Tl,212Po
1.0,0.6959910004695216,0.6996275316725086,0.6996281784910804,0.6996281802066567,0.7000724718233815,0.7001146069006748,0.25155194297051725,0.44856342864126464
1.0023075482838653,0.6954091876967466,0.6990426789461981,0.6990433252240629,0.699043326938205,0.6994872471499299,0.6995293470044602,0.251341658450548,0.44818845262575985
1.0046204213468128,0.6948265204129873,0.6984569672441102,0.6984576129804737,0.6984576146931796,0.6989011629544204,0.6989432275344557,0.25113106508477734,0.44781292588132804
1.0069386314760276,0.6942429984905993,0.6978703964379336,0.6978710416320015,0.6978710433432691,0.6983142191084603,0.6983562483622611,0.2509201628270706,0.44743684832570285
1.0092621909870476,0.6936586218076611,0.6972829664051096,0.6972836110560877,0.6972836127659148,0.6977264154894128,0.6977684093652321,0.2507089516333618,0.4470602198803065
1.0115911122238297,0.6930733902480012,0.6966946770288597,0.6966953211359533,0.696695322844338,0.6971377519804252,0.6971797104265091,0.250497431461663,0.4466830404702667
1.013925407558815,0.6924873037012231,0.6961055281982108,0.6961061717606255,0.6961061734675653,0.6965482284704537,0.6965901514350415,0.2502856022720737,0.4463053100244333
1.0162650893929948,0.691900362062734,0.6955155198080232,0.6955161628249643,0.6955161645304574,0.6959578448542919,0.6959997322856166,0.2500734640267908,0.44592702847539684
1.0186101701559758,0.6913125652337694,0.6949246517590169,0.6949252942296897,0.6949252959337338,0.6953666010325967,0.6954084528788854,0.24986101669011815,0.4455481957595041
1.0209606623060468,0.6907239131214221,0.6943329239577989,0.6943335658814083,0.6943335675840016,0.6947744969119153,0.6948163131213896,0.24964826022847594,0.44516881181687656
1.023316578330245,0.6901344056386667,0.6937403363168891,0.6937409776926402,0.6937409793937804,0.6941815324047127,0.6942233129255884,0.24943519461041086,0.4447888765914267
1.0256779307444217,0.6895440427043881,0.6931468887547487,0.6931475295818466,0.6931475312815316,0.6935877074293976,0.6936294522098859,0.2492218198066054,0.44440839003087623
1.0280447320933093,0.6889528242434076,0.6925525811958062,0.6925532214734559,0.6925532231716834,0.6929930219103507,0.6930347308986585,0.2490081357898877,0.44402735208677274
1.030416994950588,0.6883607501865102,0.6919574135704851,0.6919580532978912,0.6919580549946593,0.6923974757779511,0.6924391489222808,0.24879414253524149,0.4436457627145075
1.0327947319189517,0.6877678204704712,0.6913613858152299,0.6913620249915974,0.6913620266869039,0.6918010689686029,0.6918427062171535,0.2485798400198154,0.4432636218733324
1.0351779556301763,0.6871740350380839,0.6907644978725351,0.6907651364970687,0.6907651381909117,0.6912038014247645,0.6912454027257307,0.24836522822293314,0.44288092952637786
1.0375666787451858,0.686579393838185,0.6901667496909706,0.6901673877628749,0.690167389455252,0.6906056730949723,0.6906472383965464,0.24815030712610292,0.44249768564066955
1.03996091395412,0.6859838968256844,0.68956814122521,0.6895687787436897,0.6895687804345991,0.6900066839338718,0.6900482131842431,0.24793507671302767,0.4421138901871468
1.0423606739764015,0.6853875439615892,0.6889686724360572,0.688969309400317,0.6889693110897565,0.6894068339022414,0.6894483270495971,0.2477195369696144,0.44172954314067914
1.0447659715608044,0.6847903352130336,0.6883683432904745,0.6883689796997188,0.6883689813876861,0.6888061229670227,0.6888475799595477,0.24750368788398427,0.4413446444800844
1.0471768194855202,0.6841922705533046,0.6877671537616092,0.6877677896150427,0.6877677913015358,0.6882045511013458,0.6882459718872236,0.24728752944648244,0.44095919418814633
1.0495932305582274,0.6835933499618696,0.6871651038288213,0.6871657391256487,0.6871657408106655,0.6876021182845582,0.6876435028119708,0.2470710616496878,0.4405731922516319
1.0520152176161586,0.6829935734244039,0.6865621934777119,0.6865628282171374,0.6865628299006757,0.6869988245022507,0.6870401727193793,0.246854284488423,0.4401866386613086
1.0544427935261689,0.682392940932818,0.6859584227001484,0.6859590568813767,0.6859590585634346,0.6863946697462863,0.6864359816013119,0.24663719795976422,0.43979953341196276
1.0568759711848041,0.6817914524852842,0.6853537914942942,0.6853544251165298,0.685354426797105,0.6857896540148269,0.6858309294559304,0.24641980206305092,0.4394118765024168
1.05931476351837,0.6811891080862656,0.6847482998646355,0.6847489329270829,0.6847489346061734,0.6851837773123619,0.6852250162877239,0.24620209679989627,0.4390236679355469
1.061759183483,0.6805859077465426,0.6841419478220088,0.6841425803238724,0.6841425820014762,0.6845770396497343,0.6846182421075366,0.24598408217419643,0.4386349077183009
1.0642092440647242,0.6799818514832396,0.6835347353836284,0.683535367324113,0.6835353690002277,0.6839694410441697,0.684010606932595,0.24576575819214086,0.4382455958617158
1.0666649582795393,0.6793769393198547,0.6829266625731149,0.6829272939514248,0.6829272956260484,0.6833609815193032,0.6834021107865356,0.2455471248622223,0.4378557323809355
1.0691263391734764,0.6787711712862851,0.6823177294205215,0.6823183602358616,0.682318361908992,0.682751661105208,0.6827927536994332,0.24532818219524657,0.43746531729522903
1.0715933998226712,0.678164547418856,0.6817079359623637,0.6817085662139385,0.6817085678855737,0.682141479838422,0.6821825357078279,0.2451089302043428,0.4370743506280076
1.0740661533334332,0.6775570677603477,0.6810972822416452,0.6810979119286593,0.6810979135987971,0.6815304377619765,0.6815714568547543,0.24488936890497298,0.43668283240684325
1.0765446128423155,0.6769487323600241,0.6804857683078869,0.6804863974295451,0.6804863990981834,0.6809185349254241,0.6809595171897671,0.2446694983149424,0.43629076266348604
1.079028791516184,0.676339541273659,0.6798733942171544,0.6798740227726615,0.6798740244397982,0.6803057713848659,0.6803467167689713,0.24444931845440973,0.4358981414338821
