Isotope          Half Life                Production Rate          Start Activity           End Activity            
228Th                  6.035580000000e+07       0.000000000000e+00       1.000000000000e+00       2.667081211056e-02
224Ra                  3.137180000000e+05       0.000000000000e+00       0.000000000000e+00       2.681016626943e-02
220Rn                  5.580000000000e+01       0.000000000000e+00       0.000000000000e+00       2.681019105592e-02
216Po                  1.480000000000e-01       0.000000000000e+00       0.000000000000e+00       2.681019112167e-02
212Pb                  3.830400000000e+04       0.000000000000e+00       0.000000000000e+00       2.682721665536e-02
212Bi                  3.632400000000e+03       0.000000000000e+00       0.000000000000e+00       2.682883129798e-02
208Tl                  1.834800000000e+02       0.000000000000e+00       0.000000000000e+00       9.639628389574e-03
212Po                  3.000000000000e-07       0.000000000000e+00       0.000000000000e+00       1.718923221262e-02
