Time,226Ra,222Rn,218Po,214Pb,214Bi,210Tl,210Pb,206Hg,206Tl,210Bi,210Po,214Po,218At,218Rn
1.0,0.999566867746149,0.9995734071775765,0.9995734108253758,0.9993535366393599,0.9995732464024554,0.00020991038206879078,0.030233022675610934,5.744143248126354e-10,4.2062081595883396e-08,0.029634401374329284,0.015783490195811715,0.9993635559268645,0.00021990615038768022,2.1990615038783696e-07
1.0069386314760276,0.999563863056525,0.9995704024682951,0.9995704061160834,0.9993505325910076,0.9995702416936573,0.0002099097510799422,0.030442722498392236,5.783986243213653e-10,4.235982965375157e-08,0.029844232552770314,0.015959540254116167,0.9993605518483942,0.00021990548935163585,2.1990548935179262e-07
1.013925407558815,0.9995608375275934,0.9995673769195697,0.9995673805673468,0.9993475077077951,0.9995672161454185,0.0002099091157148111,0.030653830855989165,5.824096860109172e-10,4.265957765906548e-08,0.03005547314873681,0.016137242129974985,0.999357526934855,0.00021990482373091384,2.1990482373107062e-07
1.0209606623060468,0.9995577910148851,0.9995643303869302,0.9995643340346965,0.9993444618452842,0.999564169613269,0.00020990847594305872,0.030866356884515812,5.86447683467587e-10,4.2961338583999894e-08,0.030268132304074304,0.016316607136110665,0.9993544810418069,0.00021990415349373068,2.1990415349388745e-07
1.0280447320933093,0.9995547233729297,0.9995612627249055,0.9995612663726604,0.999341394858036,0.9995611019517379,0.0002099078317341361,0.03108030977481765,5.90512791317558e-10,4.326512547844143e-08,0.03048221921539364,0.01649764661300145,0.9993514140238098,0.00021990347860808272,2.1990347860823953e-07
1.0351779556301763,0.9995516344552501,0.9995581737870176,0.9995581774347614,0.9993383065996041,0.9995580130143465,0.000209907183057283,0.03129569877273658,5.94605185231964e-10,4.3570951470364577e-08,0.030697743134336947,0.016680371928537614,0.9993483257344158,0.0002199027990417449,2.1990279904190165e-07
1.0423606739764015,0.9995485241143546,0.9995550634257732,0.9995550670735055,0.9993351969225286,0.9995549026536026,0.00020990652988152572,0.03151253317937356,5.987250419318401e-10,4.387882976620563e-08,0.030914713367840452,0.016864794477684974,0.9993452160261632,0.0002199021147622686,2.1990211476242542e-07
1.0495932305582274,0.999545392201729,0.999551931492658,0.9995519351403789,0.9993320656783269,0.999551770720991,0.00020990587217567628,0.031730822351352404,6.028725391931768e-10,4.4188773651237354e-08,0.031133139278397892,0.017050925682150678,0.9993420847505685,0.00021990142573698074,2.1990142573713753e-07
1.0568759711848041,0.9995422385678318,0.9995487778381287,0.9995487814858381,0.9993289127174895,0.9995486170669693,0.00020990520990833066,0.03195057570108659,6.070478558519529e-10,4.4500796489945354e-08,0.03135303028432725,0.01723877699005618,0.9993389317581204,0.00021990073193298176,2.1990073193313857e-07
1.0642092440647242,0.9995390630620847,0.9995456023116068,0.9995456059593044,0.99932573788947,0.9995454415409578,0.00020990454304786727,0.03217180269704077,6.112511718091269e-10,4.4814911726402965e-08,0.03157439586003364,0.017428359875612434,0.9993357568982708,0.00021990003331714438,2.1990003331730115e-07
1.0715933998226712,0.9995358655328674,0.9995424047614703,0.9995424084091565,0.9993225410426808,0.9995422439913358,0.00020990387156244559,0.03239451286399801,6.15482668035714e-10,4.5131132884648103e-08,0.0317972455362761,0.017619685838802846,0.9993325600194307,0.00021989932985611173,2.198993298562685e-07
1.079028791516184,0.9995326458275088,0.9995391850350476,0.9995391886827218,0.999319322024483,0.9995390242654306,0.0002099031954200045,0.03261871578332358,6.19742526577781e-10,4.544947356905945e-08,0.03202158890043083,0.017812766405069676,0.9993293409689596,0.00021989862151629614,2.1989862151645288e-07
1.0865157746525382,0.9995294037922807,0.999535942978609,0.9995359466262717,0.9993160806811817,0.999535782209514,0.0002099025145882609,0.03284442109323125,6.240309305615238e-10,4.57699474647325e-08,0.03224743559675871,0.01800761312501012,0.9993260995931614,0.00021989790826387707,2.1989790826403381e-07
1.0940547072057427,0.9995261392723904,0.9995326784373615,0.9995326820850122,0.9993128168580168,0.9995325176687913,0.00020990182903470812,0.03307163848904782,6.283480641982804e-10,4.6092568337857966e-08,0.03247479532666937,0.018204237574073794,0.9993228357372742,0.00021989719006479996,2.1989719006495673e-07
1.1016459496336566,0.9995228521119729,0.9995293912554384,0.9995293949030774,0.9993095303991566,0.999529230487397,0.00020990113872661423,0.03330037772347932,6.326941127896078e-10,4.64173500360972e-08,0.0327036778489881,0.01840265135227167,0.9993195492454648,0.00021989646688477422,2.1989646688493097e-07
1.1092898648952227,0.9995195421540839,0.9995260812758949,0.9995260849235215,0.9993062211476907,0.999525920508386,0.00020990044363102087,0.03353064860687696,6.370692627323071e-10,4.6744306488961194e-08,0.032934092980221236,0.018602866083888423,0.9993162399608211,0.00021989573868927198,2.1989573868942876e-07
1.116986818467823,0.9995162092406924,0.9995227483406988,0.9995227519883131,0.9993028889456215,0.9995225875737256,0.0002098997437147411,0.033762461007502,6.414737015234785e-10,4.707345170818649e-08,0.03316605059482198,0.01880489341720337,0.999312907725344,0.00021989500544352612,2.1989500544368284e-07
1.1247371783647517,0.9995128532126728,0.9995193922907228,0.999519395938325,0.999299533633857,0.9995192315242898,0.00020989903894435847,0.03399582485179338,6.459076177655972e-10,4.7404799788114506e-08,0.03339956062545703,0.01900874502422025,0.99930955237994,0.0002198942671125287,2.1989426711268552e-07
1.1325413151528119,0.9995094739097974,0.9995160129657392,0.9995160166133291,0.9992961550522045,0.9995158521998495,0.00020989832928622494,0.03423075012463144,6.503712011715346e-10,4.773836490606801e-08,0.03363463306327279,0.019214432600401923,0.9993061737644146,0.00021989352366102958,2.1989352366118634e-07
