Isotope          Half Life                Production Rate          Start Activity           End Activity            
241Am                  1.365810000000e+10       0.000000000000e+00       1.000000000000e+00       8.520121447876e-01
237Np                  6.765800000000e+13       0.000000000000e+00       0.000000000000e+00       2.987376777772e-05
233Pa                  2.331070000000e+06       0.000000000000e+00       0.000000000000e+00       2.984440880447e-05
233U                   5.025550000000e+12       0.000000000000e+00       0.000000000000e+00       6.660064498465e-09
229Th                  2.316330000000e+11       0.000000000000e+00       0.000000000000e+00       2.116897929688e-11
225Ra                  1.280450000000e+06       0.000000000000e+00       0.000000000000e+00       2.113232174461e-11
225Ac                  8.640000000000e+05       0.000000000000e+00       0.000000000000e+00       2.110760571166e-11
221Fr                  2.874000000000e+02       0.000000000000e+00       0.000000000000e+00       2.110759745043e-11
217At                  3.230000000000e-02       0.000000000000e+00       0.000000000000e+00       2.110658425243e-11
213Bi                  2.735400000000e+03       0.000000000000e+00       0.000000000000e+00       2.110509190596e-11
209Tl                  1.296600000000e+02       0.000000000000e+00       0.000000000000e+00       4.410963425308e-13
209Pb                  1.179720000000e+04       0.000000000000e+00       0.000000000000e+00       2.110718161703e-11
209Bi                  5.995940000000e+26       0.000000000000e+00       0.000000000000e+00       1.938020325045e-29
213Po                  3.700000000000e-06       0.000000000000e+00       0.000000000000e+00       2.066642277714e-11
217Rn                  5.400000000000e-04       0.000000000000e+00       0.000000000000e+00       2.427305784531e-15
221Ra                  2.800000000000e+01       0.000000000000e+00       0.000000000000e+00       1.013164641677e-15
