Time,241Am,237Np,233Pa,233U,229Th,225Ra,225Ac,221Fr,217At,213Bi,209Tl,209Pb,209Bi,213Po,217Rn,221Ra
1.0,0.9983997368106972,3.23044593865071e-07,2.8864304126752804e-07,5.693389127718874e-13,1.6449417586747716e-17,1.3637278935748675e-17,1.2020711056042463e-17,1.1973813629009295e-17,1.1951587209205853e-17,1.1972341823489003e-17,2.4902474648851456e-19,1.1911377845605176e-17,8.839467931500554e-33,1.1690978519492483e-17,1.3769070804416849e-21,5.766819682956274e-22
1.0046204213468128,0.9983923488670751,3.2453599532627227e-07,2.901345744248928e-07,5.751586697788051e-13,1.668045727194321e-17,1.389611631918413e-17,1.2197806425163743e-17,1.21602322846594e-17,1.2129484716034598e-17,1.2137012983641369e-17,2.5391318184058193e-19,1.2093661005434889e-17,8.839287146278239e-33,1.1898746295563898e-17,1.3984270453484937e-21,5.871100904200241e-22
1.0092621909870476,0.998384926843089,3.260342765757237e-07,2.91632993229401e-07,5.810356377257816e-13,1.697533687015325e-17,1.4135972294501128e-17,1.2437320653770804e-17,1.2412972961907654e-17,1.2350654589298247e-17,1.2327881828296586e-17,2.585161611136154e-19,1.2342173766412785e-17,4.285415754718977e-33,1.212222962189474e-17,1.4251737658849255e-21,5.966521629523345e-22
1.013925407558815,0.9983774705817832,3.275394692980855e-07,2.931383292154223e-07,5.869701418429674e-13,1.7206376555348747e-17,1.4311981715254267e-17,1.2605706414548776e-17,1.2592221669234553e-17,1.2548986269135406e-17,1.2554928427750783e-17,2.62905048327294e-19,1.2492009374512662e-17,8.750052242323194e-33,1.2298572373844717e-17,1.4447131629743325e-21,6.024455641367942e-22
1.0186101701559758,0.9983699799254807,3.2905160532343863e-07,2.9465061406714574e-07,5.9296286215704e-13,1.7486056174269612e-17,1.4563916768448382e-17,1.2819091818208768e-17,1.2801942656746692e-17,1.2754530010030474e-17,1.2785717553547433e-17,2.6693711544234566e-19,1.2726599176556412e-17,-5.556817178184451e-38,1.2511582929018439e-17,1.4671499795717987e-21,6.14850258423142e-22
1.023316578330245,0.9983624547157812,3.305707166279881e-07,2.9616987961905405e-07,5.990143308627908e-13,1.7764215795261553e-17,1.4803772743747768e-17,1.3067315655064896e-17,1.304034343737452e-17,1.3000942097005735e-17,1.300777411781936e-17,2.7182555079284383e-19,1.2916190510055812e-17,4.375012229118652e-33,1.2738557436690373e-17,1.4958766358055942e-21,6.250057499005299e-22
1.0280447320933093,0.9983548947935571,3.320968353347274e-07,2.9769615785659395e-07,6.051250801550108e-13,1.8004375468030557e-17,1.5043628719042057e-17,1.3213927395034302e-17,1.3199874786872341e-17,1.318605166481985e-17,1.3167455242733607e-17,2.7571488986791586e-19,1.3165730319948645e-17,8.749690671878563e-33,1.2934104611364779e-17,1.5216136261760723e-21,6.348886107337538e-22
1.0327947319189517,0.9983472999989504,3.3362999371410286e-07,2.992294809166519e-07,6.112957309276234e-13,1.8273415101448995e-17,1.5259326538553066e-17,1.3510054077527997e-17,1.3461577899390088e-17,1.340481751764044e-17,1.3430679596940963e-17,2.8042491516865623e-19,1.3381049059256865e-17,8.839648716722869e-33,1.3145367592068898e-17,1.5446482916592061e-21,6.446351562445718e-22
1.0375666787451858,0.9983396701713697,3.351702241846393e-07,3.007698810881525e-07,6.175267858090425e-13,1.857285469344579e-17,1.5544047660284066e-17,1.3649407810549897e-17,1.366771391270006e-17,1.3603149197398967e-17,1.362529096785852e-17,2.8559880659683646e-19,1.3629214866612553e-17,4.3748592279822266e-33,1.3382815275736108e-17,1.5740197627669978e-21,6.562219585977728e-22
1.0423606739764015,0.9983320051494861,3.3671755931364254e-07,3.023173908127555e-07,6.238187769940593e-13,1.8811494368285872e-17,1.5761471062342168e-17,1.3896180045965738e-17,1.3889982309634434e-17,1.3808692938220806e-17,1.388352528689227e-17,2.8991632978895373e-19,1.3811807692212982e-17,8.92873061954149e-33,1.3580109664527104e-17,1.593411874021666e-21,6.650142968553894e-22
1.0471768194855202,0.9983243047712305,3.3827203181794296e-07,3.038720426854318e-07,6.301724732084831e-13,1.9145893912647776e-17,1.603066194106476e-17,1.4148758686905328e-17,1.4146307960901896e-17,1.409236734068692e-17,1.4080631675359087e-17,2.9505453920679865e-19,1.407263900446191e-17,8.839287146278239e-33,1.3803597264375323e-17,1.6214709698353411e-21,6.79327405641546e-22
1.0520152176161586,0.9983165688737901,3.398336745645205e-07,3.0543386945494204e-07,6.365882588152192e-13,1.9411893550208377e-17,1.6284322576783297e-17,1.439698252368238e-17,1.43596139224597e-17,1.4327961335969177e-17,1.434011350315696e-17,2.998002465163405e-19,1.4263432530400466e-17,8.839467931500554e-33,1.403231634369922e-17,1.6475962531198587e-21,6.873018519678373e-22
1.0568759711848041,0.9983087972936047,3.4140252057112934e-07,3.07002904024488e-07,6.430668434073223e-13,1.9688533173271405e-17,1.653970879505415e-17,1.467714159089448e-17,1.4623109521989212e-17,1.458038347375182e-17,1.4567160102486826e-17,3.046886818649695e-19,1.4535717826177306e-17,4.464580919432435e-33,1.429071645251542e-17,1.6761913490828216e-21,7.006607535010382e-22
1.061759183483,0.9983009898663634,3.4297860300711966e-07,3.0857917945248507e-07,6.496088183123383e-13,1.9978852777694696e-17,1.6798546178433158e-17,1.489052699443902e-17,1.4847170405952122e-17,1.4796745306145324e-17,1.483911701813348e-17,3.1021939339024987e-19,1.477624320440016e-17,8.749718455964453e-33,1.4512458692341132e-17,1.707302380900005e-21,7.132699207644023e-22
1.0666649582795393,0.9982931464270018,3.445619551939448e-07,3.101627289528744e-07,6.562146861586809e-13,2.0325412305487937e-17,1.7053932396698096e-17,1.5064719160610242e-17,1.505151393212768e-17,1.5027531260681952e-17,1.4998798142955763e-17,3.1457259859112386e-19,1.499625774015629e-17,8.750080026409085e-33,1.4728956010561192e-17,1.732619837914312e-21,7.244477771494302e-22
1.0715933998226712,0.9982852668096974,3.461526106060606e-07,3.1175358589604365e-07,6.628851861057829e-13,2.062333189955581e-17,1.733175118818332e-17,1.537100705270573e-17,1.538670901446211e-17,1.5283559428976238e-17,1.530693281340385e-17,3.20353084184825e-19,1.5269195744272024e-17,4.375193014340967e-33,1.5018785394595052e-17,1.7636768837720236e-21,7.355574758732147e-22
1.0765446128423155,0.9982773508478673,3.477506028714723e-07,3.1335178380921334e-07,6.696208207820578e-13,2.0942531464628537e-17,1.7599216484332427e-17,1.563955330881299e-17,1.5585675079409648e-17,1.552155744457313e-17,1.554271197420766e-17,3.2591947771941856e-19,1.5517953784092065e-17,4.4644279182960106e-33,1.524401474142657e-17,1.7911689497064543e-21,7.486437467613778e-22
1.0815187025522883,0.9982693983741641,3.4935596577259466e-07,3.149573563771657e-07,6.764222702141837e-13,2.122373108147832e-17,1.7894291101369026e-17,1.583116469156801e-17,1.5854548140110642e-17,1.5796817775722046e-17,1.5812173872249135e-17,3.3059382100824194e-19,1.5769900111398926e-17,4.464789488740641e-33,1.547273939869431e-17,1.819010837464494e-21,7.607758103972613e-22
1.0865157746525382,0.9982614092204722,3.5096873324672035e-07,3.165703374430461e-07,6.832901552960832e-13,2.1561170621698054e-17,1.819971921373717e-17,1.617374261823928e-17,1.612162871373436e-17,1.6078088157761085e-17,1.6062923138481503e-17,3.358033944443035e-19,1.601447615940932e-17,8.749871457100879e-33,1.5755586581515226e-17,1.854991151006139e-21,7.742710272498953e-22
1.0915359353313916,0.9982533832179051,3.525889393869194e-07,3.1819076100846056e-07,6.90225126488057e-13,2.188645017848645e-17,1.8456831014546278e-17,1.6416160049417336e-17,1.638333182613972e-17,1.6314884163159147e-17,1.6363572756181442e-17,3.4197638214551235e-19,1.6283955282332797e-17,4.375193014340967e-33,1.603493557390809e-17,1.879804269695104e-21,7.860623025809127e-22
1.0965792912678098,0.9982453201968012,3.542166184426253e-07,3.19818661234816e-07,6.972277751176512e-13,2.226188966692913e-17,1.8760533544355044e-17,1.6709383529025348e-17,1.667192224460122e-17,1.6591346504469305e-17,1.662180707512324e-17,3.4807800582695464e-19,1.6597707444869544e-17,3.3378635874040335e-37,1.6314291365113546e-17,1.9125152284768212e-21,8.004435690240812e-22
1.1016459496336566,0.9982372199867207,3.5585180482049417e-07,3.2145407244329677e-07,7.042986925124113e-13,2.25248493086319e-17,1.905560816138408e-17,1.6950349358808795e-17,1.6930040382854277e-17,1.68882430188228e-17,1.6895011499501937e-17,3.5271666710546616e-19,1.681625002251092e-17,8.838772574697182e-33,1.6541265145428258e-17,1.9434787637604064e-21,8.115532677460515e-22
1.1067360180959736,0.9982290824164414,3.5749453308495305e-07,3.230970291161344e-07,7.114386769645241e-13,2.2883568819856483e-17,1.9376566516745712e-17,1.729147568407466e-17,1.7225800749588956e-17,1.7165907370302335e-17,1.719815613476001e-17,3.591394288751246e-19,1.7140400358830807e-17,8.749899241186769e-33,1.685553958344748e-17,1.9748775579527324e-21,8.271613720840992e-22
1.1118496048192708,0.9982209073139562,3.591448379590974e-07,3.247475658967082e-07,7.186482902351582e-13,2.325292831658349e-17,1.9690622541883465e-17,1.754405432491988e-17,1.750542873268218e-17,1.7474823986439856e-17,1.7457637962474246e-17,3.649555964776664e-19,1.7396535275594626e-17,4.375012229118652e-33,1.7119181039413635e-17,2.0096698257880096e-21,8.405884312746342e-22
1.116986818467823,0.9982126945064687,3.6080275432512236e-07,3.2640571759052405e-07,7.259281827846143e-13,2.3566047889940543e-17,1.9961539003129637e-17,1.7763246133931945e-17,1.7772509306275848e-17,1.771522602235185e-17,1.7743317474708022e-17,3.7009380589344866e-19,1.7682338034884505e-17,4.590034092742217e-37,1.7354890572473178e-17,2.0407109353731055e-21,8.519026029785256e-22
1.1221477682079803,0.9982044438203894,3.624683172254941e-07,3.280715191657803e-07,7.332790937723244e-13,2.3946047372169977e-17,2.0304929931710202e-17,1.8123243277175855e-17,1.8082609569564464e-17,1.8071021035475105e-17,1.8040224566019567e-17,3.773372538888229e-19,1.7997021609591326e-17,4.3750400132045425e-33,1.7688366136517113e-17,2.077452530595987e-21,8.66079396438067e-22
1.1273325637104867,0.9981961550813333,3.641415618632238e-07,3.297450057540079e-07,7.407015553930797e-13,2.4310846875110237e-17,2.0639692947511576e-17,1.8387434729080687e-17,1.836940750092944e-17,1.8341473325862903e-17,1.8347111727622323e-17,3.8311773948130154e-19,1.8272092625340105e-17,1.3303770632746032e-32,1.7955499938801533e-17,2.1090143361744147e-21,8.81619343114503e-22
1.1325413151528119,0.9981878281141147,3.658225236029231e-07,3.3142621265080863e-07,7.48196425071822e-13,2.4666526390476984e-17,2.0969279215645073e-17,1.8666142194821006e-17,1.8668752841786646e-17,1.863836984019258e-17,1.8652751380435007e-17,3.9000436737828543e-19,1.858262940138097e-17,8.749899241186769e-33,1.8264536031972925e-17,2.1450025124932314e-21,8.9729560511249e-22
1.1377741332214912,0.9981794627427449,3.6751123797131166e-07,3.331151753164236e-07,7.557642645697194e-13,2.5054125862351004e-17,2.1266079415221006e-17,1.9031945743590692e-17,1.8980645592136332e-17,1.895810454792642e-17,1.896213355960521e-17,3.9589189900010867e-19,1.8888156916215024e-17,4.374678442759911e-33,1.8563098593401268e-17,2.1816743961937927e-21,9.138579167014248e-22
1.1430311291144792,0.9981710587904278,3.692077406581164e-07,3.348119293764501e-07,7.634057834798272e-13,2.540068539014425e-17,2.1609470343797512e-17,1.933242723008336e-17,1.9287160881270923e-17,1.9218940756870655e-17,1.9256545633330578e-17,4.023503427790731e-19,1.918808796509452e-17,4.3753460154773917e-33,1.887038405963146e-17,2.2183382064091335e-21,9.25717349691361e-22
1.148312414543511,0.9981626160795565,3.709120675167748e-07,3.365165106226315e-07,7.711217505279549e-13,2.5811084830952035e-17,2.1928703116594655e-17,1.96532311359477e-17,1.9582921247978282e-17,1.9526655362805963e-17,1.9532245075250797e-17,4.0852333047938477e-19,1.9482127665403717e-17,4.4644279182960106e-33,1.9156724166184748e-17,2.2509405611623095e-21,9.42007030636629e-22
1.1536181017364782,0.998154134431709,3.7262425456509907e-07,3.3822895501335644e-07,7.789128161744027e-13,2.6177404331821208e-17,2.2291075453281283e-17,1.995226102105161e-17,1.990198394660345e-17,1.982715790766298e-17,1.9881547535592228e-17,4.154813223957961e-19,1.9833307142841536e-17,8.839467931500554e-33,1.9458774839480104e-17,2.288932682935142e-21,9.565246123996026e-22
1.158948303439811,0.998145613667646,3.743443379861756e-07,3.3994929867442655e-07,7.867797195786033e-13,2.660908374363385e-17,2.2631015216744282e-17,2.027306492691145e-17,2.0255103899571287e-17,2.021059915489115e-17,2.0202157293834164e-17,4.227604524005864e-19,2.0154755165765236e-17,4.3748314438963365e-33,1.9813201823552586e-17,2.322746671736694e-21,9.73427712292332e-22
1.1643031329208766,0.9981370536073053,3.7607235412902876e-07,3.4167757789982615e-07,7.947231112008568e-13,2.694956327971142e-17,2.3012368961541266e-17,2.061854605629512e-17,2.0575959085263075e-17,2.0526727832075224e-17,2.052276705207411e-17,4.2961139828743575e-19,2.05079199308185e-17,4.3746506586740206e-33,2.0122241907240466e-17,2.3645983450799486e-21,9.897855508981408e-22
1.1696827039703852,0.9981284540697996,3.778083395091682e-07,3.434138291522724e-07,8.027437893333501e-13,2.7378202695666225e-17,2.3373015715670342e-17,2.0939349962151127e-17,2.0938041473580985e-17,2.0877714804457832e-17,2.0875812038770047e-17,4.363196161349468e-19,2.0825559004815938e-17,8.749899241186769e-33,2.0453976756110068e-17,2.4057820366045808e-21,1.0042349749999738e-21
1.1750871309048077,0.9981198148734114,3.79552330809918e-07,3.451580890640359e-07,8.108424635691383e-13,2.7828122082625867e-17,2.376472295579984e-17,2.1277573084611906e-17,2.1278614017047838e-17,2.1238317858273335e-17,2.121762944638274e-17,4.434917001101467e-19,2.118127238538746e-17,4.3750400132045425e-33,2.0818881417973718e-17,2.4477809957716737e-21,1.021138074892438e-21
1.180516528568805,0.9981111358355904,3.813043648824549e-07,3.469103944376154e-07,8.190198730676538e-13,2.822332154414448e-17,2.4113290632038582e-17,2.16651506541228e-17,2.164248889243328e-17,2.1564062616886908e-17,2.1585644538517506e-17,4.515558343309373e-19,2.1519523922539826e-17,8.660817338368151e-33,2.1141886663757452e-17,2.4811448429117106e-21,1.0374277558371495e-21
1.1859710123376697,0.9981024167729493,3.830644787471381e-07,3.486707822463647e-07,8.272767569883285e-13,2.8673240931104127e-17,2.4508449037278334e-17,2.1985954559974125e-17,2.1986646410038702e-17,2.1904231497650926e-17,2.1893779208882512e-17,4.581570061488755e-19,2.1864358578038322e-17,4.375193014340967e-33,2.1475364536975093e-17,2.524068095151506e-21,1.05562585128568e-21
1.1914506981197759,0.9980936575012599,3.8483270959413365e-07,3.504392896353894e-07,8.356138840569722e-13,2.908060037605408e-17,2.490878419018449e-17,2.238804814332099e-17,2.234693631127984e-17,2.2285268724510618e-17,2.2294229529472364e-17,4.665065964482082e-19,2.223701723426245e-17,8.749718455964453e-33,2.183677992689095e-17,2.5655240341968204e-21,1.072665266499644e-21
1.1969557023590434,0.9980848578354485,3.866090947838449e-07,3.5221595392205365e-07,8.440319934330174e-13,2.9478839833430534e-17,2.5271156526866823e-17,2.263917518274391e-17,2.2691093828882734e-17,2.2631447656168728e-17,2.2652264551308447e-17,4.729293582169688e-19,2.2580483892304265e-17,8.838953359919497e-33,2.218073380083674e-17,2.6015591765008537e-21,1.0888186321224592e-21
1.2024861420374122,0.9980760175895942,3.8839367184835805e-07,3.5400081259687924e-07,8.525318834086505e-13,2.9953079187252866e-17,2.5680119592550272e-17,2.3086268408988505e-17,2.3060346165475447e-17,2.2992050709977597e-17,2.2981606871046084e-17,4.813859945457277e-19,2.2986511687033195e-17,8.838772574697182e-33,2.254738977795484e-17,2.6510215596635524e-21,1.107084885231668e-21
1.2080421346773285,0.9980671365769224,3.9018647849144286e-07,3.557939033241279e-07,8.611142635769269e-13,3.043187853486195e-17,2.608390591056656e-17,2.3459329964654576e-17,2.343139098913792e-17,2.3388714069165154e-17,2.3367087086190506e-17,4.888792166091917e-19,2.33256923394412e-17,8.750080026409085e-33,2.29192778785339e-17,2.6928577181449137e-21,1.1248740347148559e-21
1.2136237983442408,0.9980582146098032,3.9198755259003687e-07,3.5759526394267715e-07,8.697800209291651e-13,3.0862037948745665e-17,2.653083179247279e-17,2.388029436598751e-17,2.3838285554215067e-17,2.3805811601400267e-17,2.379872512644706e-17,4.977997190656335e-19,2.3729322395161324e-17,4.3748592279822266e-33,2.3331321183426565e-17,2.737171341384551e-21,1.1443671257193267e-21
1.2192312516491106,0.998049251499746,3.937969321945588e-07,3.5940493246663e-07,8.78529835492043e-13,3.131499733156315e-17,2.6893204129153844e-17,2.4217065887054965e-17,2.4164518201106223e-17,2.4120738268392033e-17,2.4171730253721277e-17,5.045436189227362e-19,2.40950870120758e-17,4.375193014340967e-33,2.366654910612256e-17,2.7802114818358294e-21,1.1618154868981627e-21
1.2248646137509314,0.9980402470573958,3.9561465552988494e-07,3.612229470862168e-07,8.873645351241247e-13,3.178619668952765e-17,2.7331502098281495e-17,2.46351270856185e-17,2.4580375201535624e-17,2.455225992277737e-17,2.45197852052579e-17,5.134998033889684e-19,2.4497858991579933e-17,8.839259362192344e-33,2.405764741797794e-17,2.8264353292576678e-21,1.1781733255033103e-21
1.2305240043592616,0.9980312010925305,3.974407609962093e-07,3.6304934616828493e-07,8.962849772503515e-13,3.224219606820297e-17,2.777325123252012e-17,2.4990769424674787e-17,2.5005194637318208e-17,2.4939307200527024e-17,2.4937700648856845e-17,5.214568915800873e-19,2.488735749842565e-17,8.83931493036413e-33,2.442080796800459e-17,2.868474023738818e-21,1.201142457211177e-21
