Time,137Cs,137Ba(meta 1),90Sr,90Y,99Tc,126Sn,126Sb(meta 1),126Sb,126Sb(meta 2),135Cs,151Sm,226Ra,222Rn,218Po,214Pb,214Bi,210Tl,210Pb,206Hg,206Tl,210Bi,210Po,214Po,218At,218Rn
1.0,1.9557121350849607,1.845398525563818,0.4881095954748385,0.48823336763679837,0.04999983613219069,0.11999963835066521,0.11999963836973399,0.016799951830359157,0.08031755794279719,0.2099999367112806,0.08934364477877514,0.999566867746149,0.9995734071775765,0.9995734108253758,0.9993535366393599,0.9995732464024554,0.00020991038206879078,0.030233022675610934,5.744143248126354e-10,4.2062081595883396e-08,0.029634401374329284,0.015783490195811715,0.9993635559268645,0.00021990615038768022,2.1990615038783696e-07
1.0974987654930561,1.951448529363514,1.8413754121370811,0.4869655337033182,0.4870890157603504,0.04999982015531031,0.11999960309035984,0.11999960310942862,0.01679994691395829,0.0803175343425459,0.2099999305407096,0.0892799076181905,0.9995246479246492,0.9995311870798635,0.9995311907275086,0.9993113258285642,0.9995310263115331,0.00020990151584968344,0.033175421622344145,6.303199451542843e-10,4.623992767629951e-08,0.03257864347221569,0.01829420313929241,0.9993213446928731,0.00021989686196614917,2.1989686196630596e-07
1.2045035402587823,1.946780250911067,1.8369704518877534,0.4857130135228018,0.48583617797261613,0.049999802620709695,0.11999956439223014,0.11999956441129891,0.016799941499038313,0.08031750844130722,0.20999992376851576,0.08921000849755661,0.9994783137752349,0.9994848526273189,0.9994848562747951,0.9992650015679485,0.9994846918664411,0.00020989178561619908,0.03639427390688435,6.914781827076947e-10,5.081030376039591e-08,0.0357995121724567,0.021129850664707312,0.999275019967821,0.0002198866683865519,2.1988666838670866e-07
1.321941148466029,1.9416700661674007,1.8321485114461384,0.48434208192288347,0.4844648987393598,0.04999978337651425,0.11999952192109493,0.11999952194016371,0.01679993555340396,0.08031748001473937,0.20999991633604162,0.08913335728645576,0.9994274645756547,0.9994340030950697,0.9994340067423604,0.9992141632207848,0.999433842342371,0.00020988110721612783,0.0399144430064602,7.583614438817976e-10,5.580851297826094e-08,0.03932188655418606,0.02431911147881311,0.9992241811109639,0.00021987548148941596,2.1987548148957273e-07
1.4508287784959397,1.9360775552017344,1.826871450801913,0.4828419395436172,0.48296437596219255,0.04999976225604202,0.11999947530909379,0.11999947532816255,0.016799929027753104,0.08031744881662782,0.20999990817891076,0.08904930848019513,0.9993716606195137,0.9993781987738445,0.9993782024209312,0.9991583711745222,0.9993780380301212,0.00020986938831053732,0.04376280238070244,8.314803247788717e-10,6.127271239756087e-08,0.043172656944279554,0.027891369986399538,0.9991683885053427,0.00021986320453870118,2.1986320453885797e-07
1.5922827933410924,1.929958888499872,1.8210979126817808,0.4812008825600908,0.48132290284841045,0.04999973907636009,0.1199994241525009,0.11999942417156965,0.016799921865831256,0.08031741457675286,0.20999989922647005,0.0889571562380774,0.9993104194328973,0.999316957186572,0.9993169608334356,0.9990971430582171,0.9993167964526992,0.00020985652757925878,0.047968350941827505,9.113858051296385e-10,6.724407697889407e-08,0.04738084046118274,0.03187669161628585,0.9991071597751789,0.00021984973138945176,2.198497313896085e-07
1.7475284000076838,1.923266598828072,1.8147831072815548,0.47940624358661676,0.4795278088001997,0.049999713636700166,0.11999936800822848,0.11999936802729724,0.01679991400563208,0.08031737699854916,0.2099998894011779,0.08885612902568911,0.9992432116257042,0.9992497489396877,0.9992497525863058,0.9990299495947527,0.9992495882166249,0.00020984241384966137,0.052562324633984844,9.986713683024026e-10,7.376695800700048e-08,0.05197769266572563,0.03630588706931335,0.9990399656380484,0.00021983494557508283,2.1983494557523955e-07
1.9179102616724888,1.9159493508109273,1.8078785948411917,0.47744433236817524,0.47756540009104037,0.04999968571671969,0.11999930638998904,0.11999930640905777,0.016799905379077294,0.08031733575653721,0.20999987861793237,0.08874538384003183,0.9991694563427994,0.9991759931742561,0.9991759968206052,0.9989562100529616,0.9991758324630565,0.00020982692514138815,0.05757830105030582,1.093974989028527e-09,8.08890316367957e-08,0.0569968122455888,0.04121067852950125,0.9989662253569619,0.00021981871930662822,2.1981871930678494e-07
2.1049041445120205,1.9079517116544742,1.8003320693004583,0.47530037724886437,0.4754209013193147,0.04999965507459354,0.11999923876408372,0.11999923878315245,0.01679989591144915,0.08031729049350443,0.20999986678333435,0.08862399999765609,0.9990885162768538,0.9990950525787794,0.999095056224833,0.9988752872615324,0.9990948918805983,0.0002098099276190457,0.06305229328942685,1.197980916677616e-09,8.866143216128208e-08,0.062474234932865774,0.04662396889114886,0.9988853017542193,0.0002198009123755578,2.1980091237571456e-07
2.3101297000831598,1.8992139273963593,1.792087147169897,0.4729584686721664,0.4730783988942466,0.04999962144491953,0.11999916454478002,0.11999916456384872,0.01679988552074509,0.08031724081741115,0.20999985379487845,0.0884909724680674,0.9989996922011951,0.9990062279220099,0.9990062315677395,0.9987864821430229,0.9990060672381159,0.00020979127444409554,0.06902282840465235,1.3114211657928267e-09,9.713886340350966e-08,0.06844851200504923,0.0525801997563509,0.9987964957453703,0.0002197813709509967,2.1978137095115343e-07
2.535364493970112,1.8896717101947411,1.7830831668178777,0.47040150628179056,0.47052078812333076,0.04999958453641986,0.11999908308923862,0.11999908310830734,0.016799874116967612,0.08031718629799547,0.20999983954006504,0.08834520473774632,0.9989022169771448,0.9989087520602509,0.9989087557056247,0.9986890277224808,0.9989085913920352,0.00020977080451638696,0.07553100481658544,1.4350766069316663e-09,1.063796802399502e-07,0.07496076773681791,0.05911576744561415,0.9986990403477726,0.00021975992626133085,2.197599262614876e-07
