Isotope          Half Life                Production Rate          Start Activity           End Activity            
137Cs                  9.482860000000e+08       5.780000000000e-02       2.000000000000e+00       5.780000000000e-02
137Ba(meta 1)          1.531200000000e+02       0.000000000000e+00       0.000000000000e+00       5.453973320000e-02
90Sr                   9.088390000000e+08       0.000000000000e+00       5.000000000000e-01      1.487234951748e-105
90Y                    2.304000000000e+05       0.000000000000e+00       0.000000000000e+00      1.487612076654e-105
99Tc                   6.674290000000e+12       0.000000000000e+00       5.000000000000e-02       4.838788100254e-02
126Sn                  7.258090000000e+12       0.000000000000e+00       1.200000000000e-01       1.164374539420e-01
126Sb(meta 1)          1.146000000000e+03       0.000000000000e+00       0.000000000000e+00       1.164374539605e-01
126Sb                  1.072220000000e+06       0.000000000000e+00       0.000000000000e+00       1.630124596261e-02
126Sb(meta 2)          1.100000000000e+01       0.000000000000e+00       0.000000000000e+00       7.793333448528e-02
135Cs                  7.258090000000e+13       0.000000000000e+00       2.100000000000e-01       2.093680654348e-01
151Sm                  2.988440000000e+09       0.000000000000e+00       9.000000000000e-02       1.464885751881e-33
226Ra                  5.049110000000e+10       0.000000000000e+00       1.000000000000e+00       1.313781156708e-02
222Rn                  3.303240000000e+05       0.000000000000e+00       0.000000000000e+00       1.313789751812e-02
218Po                  1.842600000000e+02       0.000000000000e+00       0.000000000000e+00       1.313789756607e-02
214Pb                  1.614960000000e+03       0.000000000000e+00       0.000000000000e+00       1.313500764873e-02
214Bi                  1.188000000000e+03       0.000000000000e+00       0.000000000000e+00       1.313789540497e-02
210Tl                  7.800000000000e+01       0.000000000000e+00       0.000000000000e+00       2.758958039307e-06
210Pb                  7.015100000000e+08       0.000000000000e+00       0.000000000000e+00       1.332300460033e-02
206Hg                  4.992000000000e+02       0.000000000000e+00       0.000000000000e+00       2.531370899090e-10
206Tl                  2.521200000000e+02       0.000000000000e+00       0.000000000000e+00       1.890550356469e-08
210Bi                  4.329500000000e+05       0.000000000000e+00       0.000000000000e+00       1.332311884312e-02
210Po                  1.195570000000e+07       0.000000000000e+00       0.000000000000e+00       1.332626102224e-02
214Po                  1.623000000000e-04       0.000000000000e+00       0.000000000000e+00       1.313513933728e-02
218At                  1.400000000000e+00       0.000000000000e+00       0.000000000000e+00       2.890337464615e-06
218Rn                  3.600000000000e-02       0.000000000000e+00       0.000000000000e+00       2.890337464617e-09
